"location","variable","Unit","Date","Value"
"Russian Federation","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",57863
"Russian Federation","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",51429
"Russian Federation","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",47348
"Russian Federation","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",45436
"Russian Federation","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",43112
"Russian Federation","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",39745
"Russian Federation","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",38512
"Russian Federation","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",37091
"Russian Federation","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",34786
"Slovakia","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",4076
"Slovakia","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",3810
"Slovakia","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",3896
"Slovakia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",3200
"Slovakia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",2967
"Slovakia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",2702
"Slovakia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",2618
"Slovakia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",2426
"Slovakia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",2227
"Slovakia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",2183
"Slovakia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",2017
"Ukraine","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",5703
"Ukraine","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",5538
"Ukraine","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",6707
"Ukraine","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",6464
"Ukraine","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",5716
"Ukraine","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",4984
"Ukraine","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",5103
