"location","variable","Unit","Date","Value"
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",89.44536424
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",81.07000995
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",76.34305004
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",104.33261829
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",92.89144642
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",91.93537186
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",90.42387855
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",83.69890032
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",88.75014614
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",81.60983207
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",85.69296931
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",73.62713399
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",85.82346641
"United Kingdom (Northern Ireland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",82.19412914
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",29.5979572
