"AGE","GEO","SEX","TIME","VALUE","FLAGS","FOOTNOTES"
"Y30-49","DE","M","2011","11520095","",""
"Y_GE85","DE","T","2011","1885165","",""
"Y_LT15","DE","M","2011","5545201","",""
"TOTAL","LT","F","2011","1640825","",""
"TOTAL","LT","M","2011","1402604","",""
"Y_LT15","LT","F","2011","220718","",""
"Y65-84","LT","M","2011","173641","",""
"Y30-49","LT","F","2011","432572","",""
"Y50-64","LT","F","2011","320548","",""
"Y_GE85","LT","F","2011","39805","",""
"Y15-29","LT","M","2011","318602","",""
"Y_GE85","LT","T","2011","51219","",""
"Y30-49","LT","M","2011","407452","",""
"TOTAL","LT","T","2011","3043429","",""
"Y65-84","LT","F","2011","321066","",""
"Y30-49","LT","T","2011","840024","",""
"Y50-64","LT","M","2011","259001","",""
"Y15-29","LT","F","2011","306116","",""
"Y65-84","LT","T","2011","494707","",""
"Y_LT15","LT","M","2011","232494","",""
"Y50-64","LT","T","2011","579549","",""
"Y_LT15","LT","T","2011","453212","",""
"Y_GE85","LT","M","2011","11414","",""
"Y15-29","LT","T","2011","624718","",""
"Y_GE85","AT","T","2011","198634","",""
"Y_GE85","AT","F","2011","145461","",""
"Y65-84","AT","M","2011","571113","",""
"Y15-29","AT","M","2011","796138","",""
"Y30-49","AT","F","2011","1241662","",""
"Y50-64","AT","M","2011","797507","",""
"TOTAL","AT","M","2011","4093938","",""
"Y_LT15","AT","T","2011","1227690","",""
"Y65-84","AT","T","2011","1293479","",""
"Y_LT15","AT","F","2011","598775","",""
"TOTAL","AT","F","2011","4308002","",""
"Y50-64","AT","T","2011","1624107","",""
"Y15-29","AT","F","2011","773138","",""
"Y_GE85","AT","M","2011","53173","",""
"Y_LT15","AT","M","2011","628915","",""
"Y30-49","AT","T","2011","2488754","",""
"Y15-29","AT","T","2011","1569276","",""
"TOTAL","AT","T","2011","8401940","",""
"Y65-84","AT","F","2011","722366","",""
"Y30-49","AT","M","2011","1247092","",""
"Y50-64","AT","F","2011","826600","",""
"Y30-49","PT","T","2011","3141642","",""
"TOTAL","PT","T","2011","10562178","",""
"Y_LT15","PT","T","2011","1572329","",""
"Y15-29","PT","M","2011","906396","",""
"Y_LT15","PT","F","2011","768330","",""
"Y_LT15","PT","M","2011","803999","",""
"Y65-84","PT","F","2011","1008812","",""
"Y15-29","PT","T","2011","1803391","",""
"Y50-64","PT","M","2011","966889","",""
"TOTAL","PT","M","2011","5046600","",""
"Y50-64","PT","F","2011","1067863","",""
"Y65-84","PT","M","2011","766921","",""
"Y30-49","PT","F","2011","1614650","",""
"Y_GE85","PT","T","2011","234331","",""
"TOTAL","PT","F","2011","5515578","",""
"Y_GE85","PT","F","2011","158928","",""
"Y50-64","PT","T","2011","2034752","",""
"Y65-84","PT","T","2011","1775733","",""
"Y_GE85","PT","M","2011","75403","",""
"Y15-29","PT","F","2011","896995","",""
"Y30-49","PT","M","2011","1526992","",""
"Y_GE85","PL","T","2011","531532","",""
"Y_LT15","PL","T","2011","5781570","",""
"Y65-84","PL","T","2011","4689478","",""
"Y65-84","PL","M","2011","1836460","",""
"Y_GE85","PL","F","2011","392726","",""
"Y_LT15","PL","F","2011","2815656","",""
"Y50-64","PL","T","2011","8154851","",""
"Y50-64","PL","F","2011","4256732","",""
"Y_GE85","PL","M","2011","138806","",""
"Y15-29","PL","F","2011","4086889","",""
"Y65-84","PL","F","2011","2853018","",""
"Y15-29","PL","M","2011","4250885","",""
"TOTAL","PL","F","2011","19624176","",""
"Y30-49","PL","M","2011","5330205","",""
"Y30-49","PL","T","2011","10549360","",""
"Y15-29","PL","T","2011","8337774","",""
"Y_LT15","PL","M","2011","2965914","",""
"TOTAL","PL","M","2011","18420389","",""
"Y50-64","PL","M","2011","3898119","",""
"Y30-49","PL","F","2011","5219155","",""
"TOTAL","PL","T","2011","38044565","",""
"Y30-49","HR","M","2011","590031","",""
"Y_LT15","HR","F","2011","317703","",""
"Y_GE85","HR","F","2011","45123","",""
"Y15-29","HR","F","2011","389112","",""
"Y_GE85","HR","T","2011","60600","",""
"TOTAL","HR","F","2011","2218554","",""
"Y50-64","HR","T","2011","905060","",""
"Y65-84","HR","M","2011","280731","",""
"Y30-49","HR","F","2011","583836","",""
"TOTAL","HR","M","2011","2066335","",""
